id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,secondary_moods,language,explicit
595,Frozen Lights,SilverSignal595,jazz,energetic,0.64,143,0.76,0.87,0.55,42,1980s,tender|bright,german,false
596,Ocean Dreams Broken,PixelEcho596,classical,peaceful,0.64,120,0.42,0.86,0.61,17,1990s,tender|focused,english,false
597,Broken Road Distant,CrimsonSignal597,edm,angry,0.73,89,0.63,0.69,0.07,50,2020s,nostalgic|focused,hindi,false
598,Neon Sky,ShadowCollective598,metal,chill,0.53,120,0.73,0.39,0.17,54,2000s,bittersweet|uplifting,french,false
599,Shadow Lights,VoltMachine599,rock,peaceful,0.98,164,0.86,0.83,0.13,48,1990s,wistful|uplifting,german,false
600,Library Road Electric,SilverSociety600,edm,energetic,0.75,123,0.73,0.64,0.69,62,2000s,aggressive|focused,japanese,false
601,Neon Motion Sunrise,ShadowSignal601,pop,melancholy,0.48,107,0.36,0.48,0.37,53,2020s,focused|triumphant,korean,false
602,Amber Sky Crystal,NovaSociety602,folk,angry,0.57,89,0.69,0.68,0.95,83,1980s,introspective|playful,japanese,false
603,Falling City Golden,EchoGarden603,country,angry,0.18,79,0.21,0.14,0.53,59,1970s,uplifting|warm,english,false
604,City Drift,SolarRoom604,kpop,sad,0.81,139,0.92,0.45,0.91,23,1980s,uplifting|cozy,spanish,false
605,Iron City,IndigoSound605,folk,chill,1.00,94,0.40,0.24,0.47,70,2020s,nostalgic|introspective,japanese,false
606,Storm Signal,VoltCircuit606,reggae,energetic,0.28,131,0.00,0.96,0.42,43,2020s,tender|bittersweet,portuguese,false
607,Burning Fire,GlassDrift607,kpop,chill,0.86,107,0.18,0.52,0.39,80,1980s,dreamy|dark,hindi,false
608,Library Streets Crystal,VelvetEcho608,jazz,sad,0.44,106,0.52,0.51,0.55,56,1980s,focused|bright,french,false
609,Desert Runner,GoldenLanterns609,jazz,hopeful,0.71,87,0.39,0.53,0.24,29,1990s,tender|uplifting,german,true
610,Distant Bloom Desert,LoCollective610,pop,intense,0.24,85,0.79,0.59,0.57,60,1990s,wistful|warm,french,false
611,Hollow Drift Sunrise,VelvetSociety611,rock,sad,0.35,148,0.60,0.43,0.00,65,1970s,cozy|gritty,korean,false
612,Desert Runner Iron,SolarTheory612,classical,angry,1.00,78,0.59,0.48,0.60,77,2020s,introspective|fierce,portuguese,false
613,Shadow Motion,LoSound613,pop,romantic,0.65,98,0.94,0.36,0.46,42,2000s,tender|bright,japanese,false
614,Glass Hymn,ShadowSound614,indie,melancholy,0.92,117,0.73,0.47,0.00,30,2020s,aggressive|tender,german,false
615,Distant Static,CosmicTheory615,jazz,angry,0.11,68,0.67,0.37,0.00,57,2020s,bright|aggressive,hindi,false
616,Summer Nights Broken,CosmicParade616,folk,melancholy,0.49,149,0.42,0.44,0.00,32,2020s,playful|introspective,portuguese,false
617,Ocean Heart,LunarProject617,jazz,peaceful,0.67,116,0.27,0.73,0.31,59,1990s,tender|fierce,french,false
618,Electric Dreams,Novaline618,jazz,intense,0.67,50,0.43,0.43,0.70,38,1970s,cozy|dark,french,false
619,Sunrise Dreams Faded,CrimsonSociety619,metal,peaceful,0.75,106,0.39,0.56,0.52,43,2000s,gritty|bright,japanese,false
620,Broken Heart,IronEcho620,classical,angry,0.52,115,0.25,0.54,0.21,59,1980s,focused|wistful,korean,false
621,Rooftop Hymn Winter,SilverParade621,country,melancholy,0.46,50,0.66,0.63,0.44,73,1990s,tender|gritty,korean,false
622,Ocean Lights Electric,NovaRiders622,latin,melancholy,0.45,175,0.53,0.72,0.18,53,1970s,warm|gritty,french,false
623,Velvet Reverie,VelvetSignal623,rnb,happy,0.02,109,0.38,0.62,0.00,62,1980s,triumphant|nostalgic,hindi,false
624,Rising Streets,GlassGarden624,metal,melancholy,0.55,73,0.25,0.68,0.00,55,1980s,focused|triumphant,french,false
625,Crystal Horizon Falling,IndigoProject625,jazz,hopeful,0.23,138,0.38,0.65,0.92,92,1980s,aggressive|cozy,french,false
626,Iron Bloom Rooftop,IronRiders626,jazz,happy,0.72,113,0.45,0.54,0.00,75,2000s,triumphant|dark,french,false
627,Storm Lights,CosmicTheory627,classical,sad,0.76,116,0.66,0.51,0.12,46,1980s,bittersweet|nostalgic,japanese,true
628,Burning Waves,CosmicCollective628,rock,peaceful,0.35,106,0.06,0.31,0.41,59,2000s,nostalgic|dark,french,false
629,Sunrise Nights Crystal,Ironline629,lofi,sad,0.70,139,0.58,0.52,0.15,93,2000s,wistful|bittersweet,korean,false
630,Midnight Echo,PaperRiders630,lofi,chill,0.91,134,0.66,0.72,0.96,26,2020s,aggressive|warm,english,false
631,Electric Reverie Golden,Loline631,metal,romantic,0.32,85,0.60,0.41,0.78,65,1990s,gritty|moody,spanish,false
632,Library Hymn,CosmicGarden632,pop,peaceful,0.65,98,0.63,0.55,0.36,38,1990s,dark|dreamy,hindi,false
633,Desert Nights Neon,AmberWave633,rock,energetic,0.54,62,0.16,0.13,0.41,14,1980s,uplifting|gritty,french,false
634,Burning Drift,ShadowRiders634,hiphop,intense,0.37,148,0.47,0.31,0.00,46,2010s,introspective|bittersweet,english,false
635,Midnight Runner Iron,NovaProject635,jazz,happy,0.70,69,0.28,0.45,0.62,55,1980s,fierce|dreamy,german,true
636,Ocean Lights Rising,CosmicLanterns636,folk,sad,0.81,112,0.41,0.68,0.26,56,2020s,nostalgic|gritty,french,false
637,Silent Pulse,Crimson7637,rnb,angry,0.43,113,0.40,0.41,0.86,72,1990s,gritty|wistful,japanese,false
638,Crystal Heart Rising,PaperUnion638,hiphop,peaceful,0.27,70,0.50,0.48,0.61,54,2020s,tender|fierce,german,false
639,Ocean Sky,NeonCollective639,rock,hopeful,0.00,113,0.47,0.37,0.35,51,2020s,dark|dreamy,french,false
640,Velvet Drift Broken,VoltSound640,edm,intense,0.43,51,0.81,0.44,0.57,39,1970s,nostalgic|dark,portuguese,false
641,Summer Dreams Storm,GlassRoom641,jazz,happy,0.62,120,0.52,0.54,0.47,51,1990s,wistful|cozy,french,false
642,Rising Rain,Loline642,classical,sad,0.36,90,0.59,0.40,0.93,95,2000s,playful|nostalgic,japanese,false
643,City Echo Neon,EchoGarden,folk,melancholy,0.67,125,0.82,0.48,0.12,29,2020s,uplifting|bittersweet,spanish,false
644,Silent City Ocean,SolarGarden644,folk,sad,0.64,96,0.38,0.63,0.03,13,1980s,tender|bright,french,false
645,Sunrise Dreams Wild,GlassCollective645,edm,romantic,0.38,84,0.42,0.40,0.10,57,1980s,tender|dreamy,hindi,false
646,Sunrise Nights Glass,PaperDrift646,jazz,sad,0.57,65,0.18,0.46,0.51,31,1980s,tender|moody,english,false
647,Sunrise Reverie,PaperRoom647,country,peaceful,0.61,131,0.72,0.60,0.18,57,1990s,tender|dreamy,german,false
648,Silent Signal,GoldenMachine648,jazz,happy,0.77,94,0.86,0.53,0.89,28,1970s,dark|dreamy,spanish,false
649,Electric Pulse Midnight,NovaSociety649,kpop,energetic,0.56,71,0.71,0.83,0.79,51,2020s,nostalgic|introspective,korean,false
650,Ocean Dreams Distant,CosmicRiders650,classical,happy,0.58,117,0.72,0.89,0.29,59,1980s,introspective|focused,korean,false
651,Electric Pulse Distant,LunarProject651,metal,sad,0.95,85,0.58,0.44,0.25,88,2000s,focused|cozy,korean,false
652,Storm Bloom Neon,Solarline652,lofi,energetic,0.44,107,0.48,0.80,0.44,49,2000s,introspective|aggressive,japanese,false
653,Faded Rain Iron,StaticRoom653,lofi,sad,0.10,116,0.01,0.71,0.34,49,2020s,uplifting|aggressive,portuguese,false
654,Burning Bloom,IronRoom654,edm,melancholy,0.26,116,0.43,0.56,0.82,63,1980s,wistful|triumphant,portuguese,false
655,Midnight Road,Amberline655,rnb,happy,0.49,102,0.57,0.75,0.64,34,2010s,triumphant|uplifting,korean,false
656,Electric Streets,IronHouse656,classical,romantic,0.57,154,0.66,0.71,0.19,26,2010s,playful|bittersweet,french,false
657,Silent Sky Winter,SilverRoom657,reggae,energetic,0.35,148,0.33,1.00,0.46,52,1970s,tender|wistful,french,false
658,Iron Echo,CosmicHouse658,latin,romantic,0.59,176,0.61,0.88,0.05,84,1990s,dark|cozy,german,false
659,Frozen Streets,CosmicSociety659,pop,melancholy,0.80,71,1.00,0.43,0.13,39,1990s,wistful|cozy,hindi,false
660,Crystal Echo Rising,IndigoCircuit660,folk,hopeful,0.53,134,0.63,0.54,0.35,34,1970s,introspective|wistful,portuguese,false
661,Silent Coding Distant,NeonRoom661,hiphop,intense,0.61,93,0.57,0.82,0.53,66,1990s,dark|bright,german,true
662,Burning Heart,CrimsonTheory662,hiphop,happy,0.38,107,0.10,0.81,0.92,76,1970s,wistful|aggressive,hindi,true
663,Frozen Parade Falling,Solarline663,latin,romantic,0.39,184,0.66,0.66,0.00,43,2000s,introspective|dark,french,false
664,Faded Sky Amber,AmberCollective664,indie,romantic,0.51,128,1.00,0.61,0.80,53,1980s,wistful|bittersweet,german,false
665,Summer Coding Ocean,StaticMachine665,metal,peaceful,0.68,52,1.00,0.43,0.85,79,1980s,playful|aggressive,german,false
666,Library Echo Rising,Goldenline666,folk,sad,0.79,88,0.32,0.34,0.95,59,1990s,uplifting|triumphant,german,false
667,Glass Rain,StaticDrift667,kpop,sad,0.84,113,0.17,0.68,0.33,44,1980s,moody|dark,portuguese,false
668,Storm Waves,VelvetHouse668,kpop,melancholy,0.63,113,0.71,0.26,0.28,54,2020s,introspective|dark,english,true
669,Hollow Echo Crystal,CrimsonGarden669,folk,romantic,0.48,173,0.19,0.65,0.32,59,2000s,aggressive|wistful,german,false
670,Broken Lights Faded,CrimsonWave670,hiphop,chill,1.00,81,0.34,0.84,0.53,71,2000s,cozy|fierce,spanish,false
671,Golden Bloom,Novaline671,country,chill,0.79,86,0.38,0.80,0.37,42,2010s,dark|warm,korean,false
672,Summer Nights Burning,PixelUnion672,pop,intense,0.22,62,0.76,0.39,0.47,46,1980s,nostalgic|moody,german,false
673,Sunrise Fire Glass,IronUnion673,rnb,melancholy,0.08,149,0.71,0.71,0.95,69,2000s,dreamy|wistful,korean,false
674,Hollow Motion Golden,AmberProject674,rock,chill,0.13,102,0.82,1.00,0.65,74,2000s,warm|nostalgic,japanese,false
675,Electric Motion,IronProject675,folk,chill,0.43,90,0.20,0.62,0.00,64,1970s,fierce|focused,portuguese,false
676,Summer Nights Faded,EchoProject676,rock,peaceful,0.31,95,0.02,0.56,0.48,46,2010s,introspective|tender,english,false
677,Wild Echo,CosmicDrift677,rock,energetic,0.67,91,0.63,0.77,0.11,59,1980s,triumphant|playful,korean,false
678,Winter Rain Summer,StaticLanterns678,rock,peaceful,0.83,173,0.57,0.85,0.17,77,2020s,triumphant|cozy,japanese,false
679,Midnight Runner Amber,AmberLanterns679,kpop,angry,0.59,99,0.77,0.17,0.25,48,1980s,moody|dark,japanese,false
680,Crystal Lights,LunarMachine680,hiphop,melancholy,0.34,118,0.85,0.58,0.56,51,2020s,cozy|playful,spanish,true
681,Silent Sky Frozen,Paperline681,classical,intense,1.00,65,0.00,0.39,0.45,34,1990s,moody|bittersweet,hindi,false
682,Electric Echo,AmberSignal682,indie,melancholy,0.61,109,0.53,0.54,0.57,57,1990s,triumphant|dreamy,japanese,true
683,Golden Hymn,CrimsonSignal683,classical,melancholy,0.00,59,0.21,0.56,0.94,5,1980s,bittersweet|fierce,hindi,false
684,Summer Horizon Crystal,IronParade684,rock,happy,0.31,79,0.88,0.67,0.67,39,2000s,nostalgic|tender,korean,false
685,Summer Lights Distant,StaticWave685,latin,peaceful,0.76,100,0.28,0.39,0.47,25,2000s,wistful|dreamy,spanish,false
686,Velvet Nights Wild,SolarSound686,reggae,melancholy,1.00,59,0.45,0.19,0.18,32,2020s,playful|dreamy,korean,false
687,City Runner Velvet,IndigoMachine687,jazz,romantic,0.00,75,0.10,0.55,0.87,83,2010s,fierce|uplifting,korean,false
688,Broken Reverie Burning,Shadowline688,classical,happy,0.40,104,0.65,0.44,0.01,45,2020s,fierce|moody,hindi,false
689,Broken Static,IndigoParade689,edm,intense,1.00,92,0.00,0.35,0.83,74,2020s,gritty|triumphant,english,false
690,Shadow Waves Library,IronSound690,lofi,sad,0.83,160,1.00,0.32,0.00,72,1980s,warm|cozy,spanish,false
691,Sunrise Motion,NeonWave691,hiphop,angry,0.71,111,0.28,0.31,0.28,78,1980s,playful|gritty,spanish,false
692,Falling Fire,NovaSociety692,reggae,peaceful,0.44,101,0.40,0.33,0.53,55,2000s,cozy|aggressive,french,false
693,Neon Sky Winter,GoldenCollective693,hiphop,angry,0.46,110,0.43,0.51,0.25,4,2000s,bittersweet|uplifting,german,false
694,Iron Road City,Pixel7694,metal,chill,0.32,139,0.54,0.37,0.27,92,1980s,nostalgic|tender,spanish,false
695,City Runner Broken,NovaLanterns695,classical,angry,0.59,111,0.83,0.74,0.30,62,2010s,uplifting|cozy,portuguese,false
696,Library Motion Sunrise,NeonRoom696,reggae,sad,0.87,116,0.63,0.77,0.12,51,2000s,bittersweet|nostalgic,hindi,true
697,Library Road Midnight,AmberRoom697,pop,romantic,0.33,128,0.42,0.72,0.00,37,1970s,warm|fierce,hindi,false
698,City Parade Library,NovaSound698,indie,peaceful,0.41,163,0.75,0.14,0.08,71,2000s,dreamy|focused,japanese,false
699,Falling Road Velvet,GlassMachine699,classical,intense,0.64,154,0.17,0.52,0.31,80,1970s,fierce|uplifting,spanish,false
700,Summer Bloom Wild,AmberMachine700,folk,peaceful,0.25,92,0.83,0.32,0.24,58,1970s,focused|fierce,english,false
701,Storm Sky Hollow,LoUnion701,country,happy,0.46,107,0.81,0.59,0.17,63,2020s,focused|gritty,japanese,false
702,Faded Reverie Summer,EchoSignal702,edm,sad,0.51,87,0.61,0.21,0.15,63,1970s,tender|dreamy,korean,false
703,Electric Hymn Ocean,PixelParade703,classical,happy,0.52,145,0.66,0.73,0.56,69,2000s,aggressive|gritty,portuguese,false
704,Hollow Hymn Amber,Neon7704,indie,angry,0.24,123,0.19,0.68,0.63,61,1980s,cozy|dreamy,portuguese,false
705,Ocean Waves Frozen,Echoline705,edm,romantic,0.55,74,0.47,0.83,0.01,67,1980s,playful|nostalgic,english,false
706,Summer Signal,StaticParade706,country,romantic,0.13,140,0.64,0.64,0.31,66,2000s,wistful|nostalgic,german,false
707,Storm Streets Faded,IronSociety707,reggae,peaceful,0.51,100,0.39,0.34,0.10,78,2000s,warm|triumphant,spanish,true
708,Shadow Parade Frozen,LunarEcho708,pop,happy,0.91,116,0.09,0.39,0.16,100,1990s,gritty|warm,french,false
709,Crystal Road,Paper7709,metal,hopeful,0.59,84,0.43,0.68,0.51,19,1970s,bittersweet|aggressive,japanese,false
710,Shadow City,IronSociety710,rock,romantic,0.73,156,0.00,0.70,0.00,58,1990s,wistful|aggressive,portuguese,false
711,Distant Streets,LoGarden711,reggae,hopeful,0.68,109,0.61,0.46,0.00,28,2000s,uplifting|nostalgic,hindi,false
712,Crystal Road Midnight,Staticline712,rnb,energetic,0.90,102,0.37,0.67,0.14,53,1970s,bright|dreamy,portuguese,false
713,Amber Motion Summer,CosmicProject713,country,hopeful,0.75,92,0.60,0.83,0.12,31,1980s,tender|gritty,english,false
714,Shadow Horizon,VoltSociety714,rnb,intense,0.49,173,0.41,0.68,0.37,60,2020s,cozy|moody,spanish,false
715,City Bloom,PaperRiders715,metal,peaceful,0.63,155,0.46,0.54,0.20,24,2020s,dark|dreamy,spanish,false
716,Rising Heart,AmberTheory716,latin,hopeful,0.47,89,0.55,0.91,0.97,10,2010s,wistful|nostalgic,korean,false
717,Distant Bloom Shadow,SilverRoom717,kpop,happy,0.47,72,0.53,0.66,0.54,57,1980s,dreamy|gritty,english,true
718,Glass Motion Wild,IronGarden718,kpop,sad,0.72,95,0.42,0.69,0.78,45,1970s,tender|nostalgic,german,false
719,Shadow Fire Golden,LunarWave719,latin,chill,0.29,166,0.76,0.61,0.64,43,1990s,focused|bright,english,false
720,Summer Streets Summer,IronEcho720,classical,melancholy,0.35,102,0.70,0.74,0.02,43,1980s,wistful|fierce,english,false
721,Storm Motion Frozen,Static7721,reggae,peaceful,0.55,116,0.73,0.66,0.13,1,2000s,moody|gritty,german,true
722,Velvet Echo Hollow,AmberParade722,indie,chill,0.86,135,0.66,0.33,0.32,81,2010s,wistful|aggressive,german,false
723,Distant Nights Ocean,Amber7723,pop,peaceful,0.85,154,0.18,0.83,0.39,51,2020s,warm|focused,german,false
724,Crystal Motion Wild,SolarParade724,rock,romantic,0.51,88,0.67,0.71,0.00,84,1990s,uplifting|tender,spanish,true
725,Paper Reverie,VoltSignal725,hiphop,happy,0.64,112,0.30,0.62,1.00,59,1990s,focused|moody,french,false
726,Neon Fire Glass,EchoProject726,indie,angry,1.00,72,0.56,0.71,0.20,51,2020s,focused|warm,french,false
727,Velvet Nights Iron,VoltMachine727,classical,happy,0.54,77,0.35,0.48,0.35,40,1990s,bright|moody,japanese,false
728,Golden Pulse Sunrise,NeonDrift728,classical,intense,0.59,128,0.65,0.31,0.14,50,1990s,cozy|warm,hindi,false
729,Rising Nights Iron,ShadowCollective729,reggae,peaceful,0.42,125,0.74,0.13,0.36,47,1980s,uplifting|focused,korean,false
730,Amber Runner Midnight,Silverline730,pop,hopeful,0.77,129,0.55,0.65,0.32,51,1990s,triumphant|uplifting,japanese,false
731,Electric Fire Faded,VoltProject731,lofi,angry,0.44,149,0.65,0.63,0.05,21,2010s,gritty|triumphant,portuguese,false
732,Golden Sky Rooftop,CosmicRiders732,classical,hopeful,0.48,111,0.44,0.41,0.17,57,2020s,aggressive|introspective,japanese,false
733,Frozen Rain,IronDrift733,rock,melancholy,0.60,122,0.35,0.52,0.58,59,2010s,aggressive|dreamy,japanese,false
734,Frozen Lights Storm,EchoGarden734,country,sad,0.65,70,1.00,0.57,0.00,100,2000s,dark|fierce,portuguese,false
735,Distant Lights Library,VelvetSound735,country,happy,0.51,95,0.60,0.50,0.58,18,1980s,bright|uplifting,korean,false
736,Glass Nights Falling,AmberParade736,rnb,angry,0.84,129,0.34,0.86,0.28,34,2020s,cozy|wistful,english,false
737,Silent Road Desert,GlassParade737,rock,hopeful,0.59,118,0.17,0.46,0.00,48,1980s,aggressive|bright,english,false
738,Rising Coding Ocean,Neon7738,rock,hopeful,0.06,110,0.86,0.84,0.42,86,1970s,aggressive|moody,spanish,false
739,Iron City Silent,LunarMachine739,metal,chill,0.10,141,0.34,0.25,0.11,58,2010s,warm|gritty,japanese,false
740,Iron Waves,NeonCollective740,latin,melancholy,0.85,55,0.09,0.63,0.63,42,2020s,wistful|aggressive,spanish,false
741,Iron Streets Faded,VoltSignal741,folk,peaceful,0.35,133,0.60,0.64,0.81,85,1970s,focused|playful,korean,false
742,Crystal Motion Electric,PixelSound742,metal,melancholy,0.54,130,0.40,0.68,0.92,93,1990s,fierce|gritty,portuguese,false
743,Ocean Fire Rooftop,SolarSound743,indie,hopeful,0.23,137,0.36,0.00,0.27,7,2020s,dark|introspective,portuguese,false
744,City Lights Library,NovaCircuit744,kpop,peaceful,0.74,97,0.69,0.65,0.43,28,1990s,triumphant|wistful,german,false
745,Faded City,Echo7745,latin,chill,0.48,134,0.36,0.85,0.76,63,1980s,fierce|dreamy,spanish,false
746,Ocean Nights,IndigoGarden746,classical,angry,0.61,87,0.70,0.31,0.36,49,2000s,introspective|gritty,english,false
747,Storm Sky Velvet,CrimsonDrift747,kpop,angry,1.00,136,0.26,0.76,0.35,49,1970s,aggressive|tender,korean,false
748,Crystal Signal,GlassParade748,metal,energetic,0.46,123,0.52,0.43,0.33,28,1980s,tender|dreamy,portuguese,false
749,Desert Rain Glass,GoldenRiders749,hiphop,melancholy,0.28,125,0.78,0.51,0.48,58,2000s,warm|moody,korean,false
750,Winter City,LoDrift750,rnb,romantic,0.60,76,0.31,0.85,0.54,65,1980s,aggressive|bright,korean,false
751,Faded Nights Electric,Ironline751,hiphop,hopeful,0.67,93,0.58,0.47,0.68,61,2000s,nostalgic|cozy,japanese,true
752,Burning Road,NovaRoom752,edm,romantic,0.57,101,0.36,0.79,0.61,10,2020s,focused|triumphant,spanish,false
753,Storm Echo,GoldenSociety753,country,happy,0.57,104,0.83,1.00,0.34,48,2020s,tender|cozy,korean,false
754,Ocean Fire Electric,NovaLanterns754,kpop,hopeful,0.60,163,0.66,0.54,0.12,62,1970s,fierce|dark,hindi,false
755,Midnight City,IronMachine755,metal,chill,0.52,115,0.24,0.84,0.37,71,2020s,fierce|playful,hindi,true
756,Hollow Lights,Paper7756,classical,happy,0.54,136,0.69,0.57,0.32,67,1980s,warm|wistful,french,false
757,Golden Streets,EchoRiders757,rnb,intense,0.19,120,0.34,0.62,0.63,63,1990s,moody|dark,german,false
758,Rooftop Nights Winter,PaperSociety758,metal,hopeful,0.48,148,0.47,0.75,0.90,58,2020s,bright|gritty,korean,false
759,Neon Echo Midnight,PaperWave759,indie,happy,0.34,113,0.64,0.40,0.29,85,2000s,triumphant|dark,hindi,false
760,Storm Drift,CrimsonCollective760,reggae,hopeful,0.43,135,0.26,0.80,0.19,66,1990s,tender|uplifting,german,false
761,Broken Hymn Library,VoltSociety761,kpop,intense,0.64,138,0.87,0.42,0.62,58,1990s,fierce|playful,korean,false
762,Amber Motion Hollow,IronUnion762,country,romantic,0.73,119,0.71,0.54,0.46,49,1980s,bright|triumphant,english,false
763,Amber City,EchoSociety763,lofi,sad,0.56,114,0.66,0.57,0.13,66,2020s,cozy|bittersweet,hindi,false
764,Velvet Lights,EchoRoom764,rock,sad,0.75,114,0.89,0.38,0.76,62,2000s,focused|uplifting,spanish,false
765,Paper Signal,Voltline765,classical,energetic,0.44,93,0.69,0.40,0.48,33,1980s,dark|moody,spanish,false
766,Frozen Static,IndigoSociety766,pop,chill,0.00,94,0.87,0.63,0.78,52,2020s,warm|focused,hindi,false
767,Faded Road Rooftop,NeonRiders767,classical,romantic,0.55,148,0.52,0.59,0.51,46,1970s,wistful|gritty,german,false
768,Hollow Reverie,NeonCircuit768,country,happy,0.56,105,0.23,0.77,0.45,24,1970s,dark|introspective,hindi,false
769,Falling Streets Broken,VoltSound769,lofi,melancholy,0.49,120,0.55,0.45,0.18,33,1980s,aggressive|playful,spanish,true
770,Summer Dreams Distant,IronCollective770,folk,romantic,0.51,105,0.39,0.39,0.56,85,1980s,bright|warm,english,false
771,Velvet Drift Falling,NovaLanterns771,kpop,happy,0.81,134,0.31,0.52,0.11,50,1990s,aggressive|uplifting,english,false
772,Summer Heart Iron,NovaTheory772,metal,intense,0.49,78,0.56,0.61,0.50,70,1970s,warm|playful,korean,false
773,Falling Heart Burning,Lunar7773,reggae,sad,0.79,134,0.98,0.69,0.35,56,2020s,gritty|uplifting,english,true
774,Glass Streets,ShadowLanterns774,kpop,melancholy,0.74,75,0.33,0.33,0.32,50,2000s,bright|bittersweet,korean,false
775,Summer Bloom Burning,NeonProject775,hiphop,melancholy,0.00,84,1.00,0.89,0.56,82,1980s,introspective|dreamy,korean,false
776,Rooftop Streets,PaperParade776,rnb,chill,0.83,66,0.50,0.63,0.69,74,2000s,cozy|fierce,spanish,false
777,Burning Sky,LunarEcho777,edm,hopeful,0.65,149,0.06,0.32,0.54,70,2010s,nostalgic|bittersweet,english,false
778,Broken Signal Iron,NeonRiders778,rnb,peaceful,0.18,122,0.18,0.55,0.17,19,1990s,wistful|nostalgic,spanish,false
779,City Coding Shadow,CrimsonRoom779,jazz,energetic,0.89,112,0.34,0.34,0.37,56,1980s,cozy|warm,korean,false
780,Electric City Neon,LunarRiders780,edm,hopeful,0.39,161,0.17,0.46,0.38,39,2020s,cozy|triumphant,german,false
781,Falling City Wild,StaticRoom781,indie,peaceful,0.65,140,0.03,0.45,0.72,53,2010s,warm|moody,hindi,false
782,Glass Echo,ShadowEcho782,classical,hopeful,0.52,137,0.02,0.75,0.00,81,1980s,playful|warm,german,false
783,Amber Dreams,Voltline783,jazz,hopeful,0.36,170,0.43,0.71,0.46,36,1980s,bittersweet|dark,korean,false
784,Distant Parade Paper,VoltRoom784,kpop,hopeful,0.59,161,0.91,0.96,0.08,55,1990s,bright|dreamy,portuguese,false
785,Crystal Echo Golden,AmberProject785,edm,happy,0.20,102,0.28,0.75,0.38,76,1990s,tender|dreamy,portuguese,false
786,Winter Static Winter,ShadowCollective786,pop,sad,0.65,144,0.05,0.74,0.58,60,2020s,moody|gritty,german,false
787,Faded Static Broken,SolarRiders787,classical,energetic,0.63,91,0.42,0.68,0.60,22,1970s,cozy|moody,spanish,false
788,Summer Nights Desert,AmberCollective788,kpop,melancholy,0.37,86,0.72,0.52,0.10,38,1970s,warm|cozy,english,false
789,Burning Rain Amber,NeonSound789,metal,peaceful,0.50,70,0.20,0.65,0.80,28,2000s,dark|triumphant,korean,false
790,Shadow Bloom,CosmicUnion790,indie,peaceful,0.00,97,0.48,0.73,0.59,64,1980s,bittersweet|tender,korean,false
791,Crystal Nights,PaperLanterns791,pop,happy,0.52,68,1.00,0.29,0.32,27,1980s,cozy|fierce,hindi,false
792,Electric Pulse Ocean,CosmicTheory792,metal,sad,0.57,98,0.50,0.94,0.68,73,2000s,playful|aggressive,portuguese,false
793,Iron Signal,VelvetMachine793,country,sad,0.37,130,0.59,0.51,0.27,32,2010s,wistful|dreamy,japanese,false
794,Sunrise Lights,StaticGarden794,indie,chill,0.72,124,0.21,0.74,0.56,57,2010s,dreamy|tender,hindi,false
795,Summer City Neon,SolarSound795,edm,sad,0.29,162,0.36,0.42,0.44,49,1990s,cozy|warm,japanese,false
796,Glass Road,LunarLanterns796,indie,sad,0.84,92,0.43,0.52,0.17,55,2020s,uplifting|gritty,korean,false
797,Broken Motion Desert,CrimsonTheory797,indie,chill,0.57,52,0.69,0.24,0.41,49,1990s,introspective|moody,spanish,false
798,Electric Runner Hollow,GlassProject798,latin,melancholy,0.71,106,0.59,0.63,0.38,67,1970s,nostalgic|focused,korean,false
799,Burning Motion Desert,PaperLanterns799,folk,chill,0.82,122,0.42,0.49,0.29,46,1990s,bright|fierce,english,false
800,Wild Lights Midnight,PixelSignal800,rnb,peaceful,0.70,116,0.30,0.69,0.32,42,2000s,uplifting|aggressive,german,false
801,Glass Coding Wild,CosmicRiders801,edm,happy,0.82,122,0.91,0.93,0.36,53,2000s,introspective|fierce,spanish,false
802,Ocean Coding,SolarRiders802,reggae,melancholy,0.79,50,0.62,0.63,0.68,6,2000s,uplifting|fierce,french,false
803,Neon Static,SolarLanterns803,jazz,hopeful,0.63,77,0.65,0.80,0.45,67,2020s,triumphant|dark,spanish,false
804,Ocean Bloom,PaperUnion804,edm,angry,0.13,81,0.63,0.74,1.00,11,2020s,playful|bittersweet,french,false
805,Burning Hymn Neon,Golden7805,pop,hopeful,0.43,166,0.68,0.71,0.69,60,2020s,moody|introspective,german,false
806,Glass Heart,Solarline806,rock,happy,0.98,200,0.63,0.86,0.21,24,1970s,triumphant|dark,english,false
807,Broken Horizon Burning,LoEcho807,lofi,romantic,0.88,146,1.00,0.62,0.57,39,2020s,aggressive|dreamy,korean,false
808,Winter Runner,GlassRiders808,kpop,peaceful,0.82,50,0.12,0.52,0.40,65,1970s,dreamy|fierce,spanish,false
809,Distant Coding Library,LoTheory809,classical,melancholy,0.77,114,0.82,0.45,0.40,81,2020s,nostalgic|wistful,german,false
810,Falling Dreams,VelvetUnion810,edm,angry,0.77,87,0.30,0.15,0.00,62,1990s,introspective|bittersweet,french,false
811,Storm Echo Summer,NeonSociety811,pop,romantic,0.28,55,0.55,0.58,0.22,57,1970s,nostalgic|bittersweet,german,true
812,Golden Hymn Velvet,GlassMachine812,reggae,melancholy,0.35,120,0.91,0.46,0.30,1,1990s,playful|wistful,english,false
